2,0,0,7,7
1,0,7,10,3
2,1,20,24,4
2,2,40,43,3
2,3,60,61,1
1,1,50,63,12
2,4,80,84,4
2,5,100,112,12
2,6,120,123,3
2,7,140,142,2
1,2,112,150,33
1,3,150,154,4
2,8,160,168,8
2,9,180,187,7
2,10,200,210,10
2,11,220,223,3
1,4,210,224,11
2,12,240,247,7
2,13,260,263,3
2,14,280,284,4
1,5,250,286,29
2,15,300,304,4
2,16,320,322,2
1,6,304,326,20
2,17,340,345,5
2,18,360,375,15
1,7,350,378,13
2,19,380,381,1
2,20,400,404,4
1,8,404,407,3
2,21,420,421,1
2,22,440,449,9
1,9,450,455,5
2,23,460,470,10
2,24,480,495,15
2,25,500,502,2
1,10,502,506,4
2,26,520,522,2
0,0,10,532,247
2,27,540,548,8
2,28,560,563,3
1,11,550,577,24
2,29,580,584,4
2,30,600,601,1
2,31,620,621,1
1,12,601,632,30
2,32,640,643,3
1,13,650,653,3
2,33,660,663,3
2,34,680,684,4
2,35,700,712,12
1,14,712,720,8
2,36,720,724,4
2,37,740,745,5
1,15,750,753,3
2,38,760,764,4
2,39,780,784,4
2,40,800,804,4
2,41,820,826,6
1,16,804,833,23
2,42,840,842,2
2,43,860,865,5
2,44,880,886,6
1,18,900,1000,1
2,45,900,902,2
1,17,850,908,45
2,46,920,921,1
2,47,940,941,1
2,48,960,961,1
2,49,980,985,5
1,19,950,993,37
2,50,1000,1007,7
2,51,1020,1023,3
2,52,1040,1042,2
1,20,1007,1044,32
1,21,1050,1057,7
2,53,1060,1064,4
2,54,1080,1081,1
2,55,1100,1112,12
1,22,1112,1115,3
2,56,1120,1128,8
2,57,1140,1145,5
2,58,1160,1161,1
1,23,1150,1165,14
2,59,1180,1184,4
2,60,1200,1202,2
1,24,1202,1210,8
2,61,1220,1236,16
2,62,1240,1250,10
2,63,1260,1263,3
1,25,1250,1275,22
2,64,1280,1281,1
2,65,1300,1301,1
1,26,1301,1304,3
2,66,1320,1321,1
2,67,1340,1341,1
2,68,1360,1366,6
2,69,1380,1388,8
1,27,1350,1399,35
2,70,1400,1403,3
1,28,1403,1406,3
2,71,1420,1428,8
2,72,1440,1447,7
2,73,1460,1461,1
2,74,1480,1481,1
1,29,1450,1495,43
2,75,1500,1506,6
2,76,1520,1524,4
1,30,1506,1529,19
2,77,1540,1542,2
2,78,1560,1565,5
2,79,1580,1584,4
1,31,1550,1592,33
2,80,1600,1611,11
1,32,1611,1619,8
2,81,1620,1622,2
2,82,1640,1645,5
1,33,1650,1653,3
2,83,1660,1662,2
2,84,1680,1684,4
2,85,1700,1703,3
1,34,1703,1708,5
2,86,1720,1732,12
2,87,1740,1758,18
2,88,1760,1766,6
1,35,1758,1767,3
2,89,1780,1782,2
2,90,1800,1802,2
1,36,1802,1805,3
2,91,1820,1830,10
2,92,1840,1841,1
2,93,1860,1862,2
1,37,1850,1876,24
2,94,1880,1885,5
2,95,1900,1901,1
1,38,1901,1909,8
2,96,1920,1921,1
2,97,1940,1942,2
2,98,1960,1978,18
2,99,1980,1984,4
1,40,2000,2100,1
2,100,2000,2003,3
1,39,1950,2012,37
2,101,2020,2023,3
2,102,2040,2050,10
2,103,2060,2061,1
1,41,2050,2063,12
2,104,2080,2083,3
2,105,2100,2102,2
1,42,2102,2110,8
2,106,2120,2126,6
2,107,2140,2141,1
2,108,2160,2161,1
2,109,2180,2183,3
1,43,2150,2199,45
2,110,2200,2204,4
1,44,2204,2207,3
2,111,2220,2221,1
2,112,2240,2241,1
1,45,2250,2253,3
0,1,2012,2258,139
2,113,2260,2264,4
2,114,2280,2287,7
2,115,2300,2301,1
1,46,2301,2316,15
2,116,2320,2321,1
2,117,2340,2347,7
2,118,2360,2361,1
1,47,2350,2365,14
2,119,2380,2381,1
2,120,2400,2401,1
2,121,2420,2421,1
1,48,2401,2427,25
2,122,2440,2441,1
1,49,2450,2453,3
2,123,2460,2462,2
2,124,2480,2486,6
2,125,2500,2501,1
1,50,2501,2514,13
2,126,2520,2521,1
2,127,2540,2545,5
1,51,2550,2560,10
2,128,2560,2571,11
2,129,2580,2586,6
2,130,2600,2603,3
2,131,2620,2624,4
1,52,2603,2626,19
2,132,2640,2647,7
2,133,2660,2662,2
2,134,2680,2686,6
1,53,2650,2699,41
2,135,2700,2706,6
2,136,2720,2721,1
2,137,2740,2742,2
1,54,2706,2744,35
2,138,2760,2776,16
2,139,2780,2781,1
1,56,2800,2900,1
2,140,2800,2802,2
1,55,2750,2808,39
2,141,2820,2823,3
2,142,2840,2843,3
1,57,2850,2853,3
2,143,2860,2862,2
2,144,2880,2888,8
2,145,2900,2902,2
1,58,2902,2916,14
2,146,2920,2921,1
2,147,2940,2950,10
2,148,2960,2961,1
1,59,2950,2970,19
2,149,2980,2988,8
2,150,3000,3004,4
2,151,3020,3022,2
1,60,3004,3035,29
2,152,3040,3045,5
1,61,3050,3053,3
2,153,3060,3064,4
2,154,3080,3082,2
2,155,3100,3105,5
1,62,3105,3113,8
2,156,3120,3126,6
2,157,3140,3155,15
2,158,3160,3170,10
2,159,3180,3181,1
1,64,3200,3300,1
2,160,3200,3210,10
2,161,3220,3221,1
1,63,3155,3222,45
2,162,3240,3241,1
1,65,3250,3253,3
2,163,3260,3264,4
2,164,3280,3285,5
2,165,3300,3306,6
2,166,3320,3332,12
2,167,3340,3346,6
1,66,3306,3350,26
1,67,3350,3353,3
2,168,3360,3365,5
2,169,3380,3385,5
2,170,3400,3407,7
1,68,3407,3417,10
2,171,3420,3421,1
2,172,3440,3441,1
2,173,3460,3461,1
1,69,3450,3473,22
2,174,3480,3482,2
2,175,3500,3503,3
2,176,3520,3537,17
1,71,3550,3650,1
2,177,3540,3551,11
1,70,3503,3558,27
2,178,3560,3565,5
2,179,3580,3581,1
2,180,3600,3605,5
1,72,3605,3608,3
2,181,3620,3623,3
2,182,3640,3644,4
1,73,3650,3655,5
2,183,3660,3661,1
2,184,3680,3681,1
2,185,3700,3712,12
2,186,3720,3721,1
1,74,3712,3731,18
2,187,3740,3745,5
2,188,3760,3763,3
2,189,3780,3786,6
1,75,3750,3797,38
2,190,3800,3807,7
2,191,3820,3822,2
1,76,3807,3840,31
2,192,3840,3846,6
1,77,3850,3853,3
2,193,3860,3866,6
2,194,3880,3889,9
2,195,3900,3903,3
2,196,3920,3921,1
2,197,3940,3941,1
1,78,3903,3950,45
1,79,3950,3953,3
2,198,3960,3963,3
2,199,3980,3993,13
2,200,4000,4001,1
1,80,4001,4016,15
2,201,4020,4028,8
2,202,4040,4041,1
1,81,4050,4053,3
2,203,4060,4066,6
2,204,4080,4093,13
2,205,4100,4107,7
2,206,4120,4121,1
1,82,4107,4131,23
2,207,4140,4141,1
2,208,4160,4178,18
2,209,4180,4181,1
1,83,4150,4192,23
2,210,4200,4204,4
1,84,4204,4220,16
2,211,4220,4226,6
2,212,4240,4241,1
2,213,4260,4269,9
2,214,4280,4281,1
1,85,4250,4297,37
2,215,4300,4302,2
2,216,4320,4324,4
1,86,4302,4329,23
2,217,4340,4347,7
1,87,4350,4354,4
2,218,4360,4365,5
0,2,4016,4377,137
2,219,4380,4381,1
2,220,4400,4418,18
2,221,4420,4422,2
1,88,4418,4423,3
2,222,4440,4443,3
1,89,4450,4453,3
2,223,4460,4472,12
2,224,4480,4491,11
2,225,4500,4502,2
1,90,4502,4505,3
2,226,4520,4531,11
2,227,4540,4547,7
1,91,4550,4554,4
2,228,4560,4566,6
2,229,4580,4587,7
2,230,4600,4604,4
1,92,4604,4607,3
2,231,4620,4622,2
2,232,4640,4642,2
1,93,4650,4653,3
2,233,4660,4666,6
2,234,4680,4682,2
2,235,4700,4704,4
1,94,4704,4712,8
2,236,4720,4721,1
2,237,4740,4741,1
1,95,4750,4753,3
2,238,4760,4766,6
2,239,4780,4781,1
2,240,4800,4801,1
1,96,4801,4807,6
2,241,4820,4821,1
2,242,4840,4848,8
1,97,4850,4860,10
2,243,4860,4861,1
2,244,4880,4885,5
2,245,4900,4904,4
1,98,4904,4907,3
2,246,4920,4926,6
2,247,4940,4944,4
1,99,4950,4959,9
2,248,4960,4963,3
2,249,4980,4990,10
2,250,5000,5002,2
1,100,5002,5016,14
2,251,5020,5021,1
2,252,5040,5042,2
1,101,5050,5053,3
2,253,5060,5065,5
2,254,5080,5081,1
2,255,5100,5107,7
1,102,5107,5119,12
2,256,5120,5121,1
2,257,5140,5141,1
2,258,5160,5167,7
2,259,5180,5184,4
1,104,5200,5300,1
2,260,5200,5204,4
1,103,5150,5210,45
2,261,5220,5221,1
2,262,5240,5241,1
1,105,5250,5253,3
2,263,5260,5263,3
2,264,5280,5282,2
2,265,5300,5308,8
1,106,5308,5315,7
2,266,5320,5321,1
2,267,5340,5341,1
2,268,5360,5363,3
1,107,5350,5366,13
2,269,5380,5391,11
2,270,5400,5401,1
1,108,5401,5407,6
2,271,5420,5422,2
2,272,5440,5446,6
2,273,5460,5461,1
1,109,5450,5462,11
2,274,5480,5488,8
2,275,5500,5503,3
1,110,5503,5518,15
2,276,5520,5525,5
2,277,5540,5541,1
2,278,5560,5562,2
1,111,5550,5563,11
2,279,5580,5581,1
2,280,5600,5606,6
1,112,5606,5609,3
2,281,5620,5629,9
2,282,5640,5644,4
1,113,5650,5659,9
2,283,5660,5667,7
2,284,5680,5686,6
2,285,5700,5704,4
2,286,5720,5722,2
2,287,5740,5741,1
1,115,5750,5850,1
1,114,5704,5752,45
2,288,5760,5765,5
2,289,5780,5783,3
2,290,5800,5806,6
2,291,5820,5821,1
1,116,5806,5822,15
2,292,5840,5841,1
1,117,5850,5853,3
2,293,5860,5865,5
2,294,5880,5881,1
2,295,5900,5901,1
2,296,5920,5921,1
2,297,5940,5944,4
1,119,5950,6050,1
1,118,5901,5951,45
2,298,5960,5964,4
2,299,5980,5984,4
2,300,6000,6001,1
1,120,6001,6015,14
2,301,6020,6028,8
2,302,6040,6044,4
2,303,6060,6063,3
2,304,6080,6083,3
1,122,6100,6200,1
2,305,6100,6105,5
1,121,6050,6106,45
2,306,6120,6123,3
2,307,6140,6143,3
1,123,6150,6153,3
2,308,6160,6165,5
2,309,6180,6183,3
0,3,6015,6200,100
2,310,6200,6204,4
1,124,6204,6207,3
2,311,6220,6227,7
2,312,6240,6248,8
2,313,6260,6270,10
2,314,6280,6283,3
1,125,6250,6286,23
2,315,6300,6305,5
2,316,6320,6322,2
1,126,6305,6325,18
2,317,6340,6348,8
2,318,6360,6365,5
1,127,6350,6369,14
2,319,6380,6382,2
2,320,6400,6401,1
2,321,6420,6421,1
2,322,6440,6442,2
1,128,6401,6449,45
2,323,6460,6470,10
2,324,6480,6488,8
1,129,6450,6494,26
2,325,6500,6503,3
2,326,6520,6524,4
1,130,6503,6531,24
2,327,6540,6544,4
1,131,6550,6553,3
2,328,6560,6563,3
2,329,6580,6586,6
2,330,6600,6602,2
1,132,6602,6605,3
2,331,6620,6622,2
2,332,6640,6646,6
2,333,6660,6665,5
2,334,6680,6681,1
1,133,6650,6697,41
2,335,6700,6703,3
1,134,6703,6711,8
2,336,6720,6723,3
2,337,6740,6743,3
2,338,6760,6764,4
2,339,6780,6782,2
1,135,6750,6784,28
2,340,6800,6801,1
2,341,6820,6827,7
2,342,6840,6841,1
1,136,6801,6844,35
2,343,6860,6864,4
2,344,6880,6885,5
1,137,6850,6889,30
2,345,6900,6906,6
1,138,6906,6909,3
2,346,6920,6923,3
2,347,6940,6947,7
2,348,6960,6961,1
2,349,6980,6981,1
1,139,6950,6997,45
2,350,7000,7001,1
2,351,7020,7025,5
1,140,7001,7034,28
2,352,7040,7050,10
2,353,7060,7061,1
1,141,7050,7075,24
2,354,7080,7081,1
2,355,7100,7108,8
1,142,7108,7113,5
2,356,7120,7127,7
2,357,7140,7141,1
1,143,7150,7156,6
2,358,7160,7161,1
2,359,7180,7183,3
2,360,7200,7209,9
1,144,7209,7218,9
2,361,7220,7226,6
2,362,7240,7250,10
2,363,7260,7261,1
2,364,7280,7281,1
1,145,7250,7297,45
2,365,7300,7302,2
1,146,7302,7309,7
2,366,7320,7321,1
2,367,7340,7341,1
1,147,7350,7354,4
2,368,7360,7362,2
2,369,7380,7386,6
2,370,7400,7407,7
2,371,7420,7422,2
2,372,7440,7441,1
1,148,7407,7442,32
1,149,7450,7453,3
2,373,7460,7463,3
2,374,7480,7481,1
2,375,7500,7501,1
