"CPU_time";"path_cost";"tree_size";
"0.1841";"61550.5073";"7127";
"0.3975";"50969.3347";"13751";
"0.6579";"50000.3998";"20402";
"1.2851";"48794.6879";"31969";
"1.5519";"48259.3580";"36675";
"1.8271";"48210.9645";"41635";
