Time 0,Time 10,Time 20,Time 30,Time 40,Time 50,Time 60,Time 70,Time 80,Time 90,Time 100,Time 110,Time 120,Time 130,Time 140,Time 150,Time 160,Time 170,Time 180,Time 190,Time 200,Time 210,Time 220,Time 230,Time 240,Time 250,Time 260,Time 270,Time 280,Time 290,Time 300,Time 310,Time 320,Time 330,Time 340,Time 350,Time 360,Time 370,Time 380,Time 390,Time 400,Time 410,Time 420,Time 430,Time 440,Time 450,Time 460,Time 470,Time 480,Time 490,Time 500,Time 510,Time 520,Time 530,Time 540,Time 550,Time 560,Time 570,Time 580,Time 590,Time 600,Time 610,Time 620,Time 630,Time 640,Time 650,Time 660,Time 670,Time 680,Time 690,Time 700,Time 710,Time 720,Time 730,Time 740,Time 750,Time 760,Time 770,Time 780,Time 790,Time 800,Time 810,Time 820,Time 830,Time 840,Time 850,Time 860,Time 870,Time 880,Time 890,Time 900,Time 910,Time 920,Time 930,Time 940,Time 950,Time 960,Time 970,Time 980
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.658732,0.6542939999999999,0.658338,0.64742,0.651858,0.661566,0.665672,0.666666,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.665672,0.66517,0.664158,0.664158,0.664158,0.66517,0.664666,0.66517,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.664158,0.662784,0.655626,0.65709,0.658338,0.6631319999999999,0.663646,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.6641320000000001,0.655416,0.656326,0.65347,0.655414,0.651286,0.661038,0.666172,0.666172,0.666666,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.664822,0.6632979999999999,0.663646,0.664666,0.666172,0.665672,0.665672,0.665672,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.664976,0.6588860000000001,0.655994,0.654734,0.662264,0.659968,0.66381,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.66517,0.666666,0.666666,0.666666,0.666172,0.666666
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.664666,0.659968,0.660156,0.65751,0.6491439999999999,0.649552,0.662612,0.666172,0.66517,0.666666,0.66517,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.66517,0.666172,0.66381,0.666172,0.664666,0.666172,0.663646,0.666666,0.665672,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.66517,0.6587500000000001,0.653946,0.654972,0.662092,0.661744,0.663646,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666172,0.666666,0.666666,0.666172,0.666666
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.664158,0.657232,0.6579900000000001,0.663646,0.649454,0.651508,0.661566,0.66227,0.666172,0.666666,0.665672,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.664666,0.664666,0.66517,0.665672,0.666172,0.666666,0.665672,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666172,0.666666,0.666666,0.661934,0.660902,0.654972,0.65766,0.658338,0.664666,0.66069,0.666666,0.665672,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.66517,0.666666,0.666666,0.666666,0.666666,0.665672
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.664158,0.654972,0.662092,0.65943,0.648796,0.646448,0.661566,0.66517,0.666666,0.666172,0.664666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666172,0.665672,0.663646,0.666172,0.664666,0.66517,0.665672,0.664666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.665672,0.666666,0.666666,0.666172,0.664158,0.659142,0.655414,0.654624,0.661038,0.661038,0.662434,0.666172,0.66517,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.662612,0.6612180000000001,0.659968,0.659968,0.649552,0.6542760000000001,0.6631319999999999,0.66381,0.666172,0.666666,0.664666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666,0.666172,0.664158,0.664318,0.665672,0.665672,0.666172,0.665672,0.666172,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.664994,0.666172,0.6612180000000001,0.65043,0.6579900000000001,0.663646,0.662784,0.664158,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666,0.666172,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.6612180000000001,0.660728,0.655184,0.661934,0.6507780000000001,0.65943,0.65943,0.663646,0.666666,0.666172,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.66381,0.664666,0.665324,0.666172,0.66517,0.666172,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666172,0.666666,0.664158,0.659968,0.650936,0.66227,0.664822,0.662092,0.66381,0.665672,0.666172,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666172,0.666666,0.666172,0.666666,0.666666,0.666172
0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.665672,0.664666,0.655084,0.661038,0.655196,0.651988,0.662092,0.665672,0.666666,0.666666,0.66517,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666318,0.664158,0.666172,0.665672,0.664158,0.665672,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.664666,0.660868,0.6541680000000001,0.6542939999999999,0.662092,0.658606,0.666318,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.666666,0.665672,0.666666,0.666666,0.666172,0.666666,0.666666,0.666666,0.666666
